GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transcodex-core,io.transcodex.core.metadata,AudioStreamMetadata,33,0,4,0,7,0,3,0,1,0
transcodex-core,io.transcodex.core.metadata,MetadataExtractionException,9,0,0,0,4,0,2,0,2,0
transcodex-core,io.transcodex.core.metadata,VideoMetadata,80,0,14,0,14,0,8,0,1,0
transcodex-core,io.transcodex.core.metadata,VideoStreamMetadata,47,0,6,0,8,0,4,0,1,0
transcodex-core,io.transcodex.core.storage,StorageException,9,0,0,0,4,0,2,0,2,0
transcodex-core,io.transcodex.core.video,VideoResult,31,0,0,0,6,0,1,0,1,0
transcodex-core,io.transcodex.core.video,ProcessingStatus,39,0,0,0,7,0,1,0,1,0
transcodex-core,io.transcodex.core.video,VideoException,9,0,0,0,4,0,2,0,2,0
transcodex-core,io.transcodex.core.video,VideoAsset,44,0,4,0,9,0,3,0,1,0
transcodex-core,io.transcodex.core.video,TranscodingOptions.Builder,79,0,2,0,22,0,10,0,9,0
transcodex-core,io.transcodex.core.video,TranscodingException,9,0,0,0,4,0,2,0,2,0
transcodex-core,io.transcodex.core.video,ThumbnailOptions,15,27,3,3,3,6,3,1,0,1
transcodex-core,io.transcodex.core.video,Thumbnail,57,0,8,0,12,0,5,0,1,0
transcodex-core,io.transcodex.core.video,VideoResolution,12,70,0,0,4,12,4,2,4,2
transcodex-core,io.transcodex.core.video,VideoRequest.Builder,14,84,4,4,5,22,5,8,2,7
transcodex-core,io.transcodex.core.video,TranscodingOptions,40,0,0,0,6,0,2,0,2,0
transcodex-core,io.transcodex.core.video,VideoRequest,0,55,1,3,0,10,1,3,0,2
transcodex-core,io.transcodex.core.encryption,EncryptionException,9,0,0,0,4,0,2,0,2,0
